year,Obs,Mod,uncertainty,,,,,,,,,,,,
2012,781.44,703.9,352.8,,,,,,,,,,,,
2013,839.52,709.9,352.8,,,,,,,,,,,,
2014,894.72,716.4,416.64,,,,,,,,,,,,
2015,967.2,723.6,439.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
